fotmob_id,nom_fotmob,ea_id,nom_ea,equipe_ea,championnat,naissance,age,poste,note,taille_cm,poids_kg,pied_fort,mauvais_pied,gestes,acceleration,vitesse_pointe,agilite,equilibre,reactions,endurance,force,detente,agressivite,note_physique,_probleme,_autres,_minutes
1532261,Idrissa Gueye,193474,Idrissa Gueye,Everton,Premier League,1989-09-26,36,CDM,79,174,66,Left,3,3,66,55,77,76,81,82,58,75,83,70,identifiant EA partage,Idrissa Gueye | Idrissa Gana Gueye,
179410,Idrissa Gana Gueye,193474,Idrissa Gueye,Everton,,,36,,,174,66,Left,3,3,66,55,77,76,81,82,58,75,83,70,identifiant EA partage,Idrissa Gueye | Idrissa Gana Gueye,
1130583,Samu,277581,Samu,FC Porto,Liga Portugal,2004-05-05,22,ST,79,193,90,Left,3,3,75,83,57,50,79,74,90,94,74,83,identifiant EA partage,Samu | Samuel Aghehowa,
1414859,Samuel Aghehowa,277581,Samu,FC Porto,,,22,,,193,90,Left,3,3,75,83,57,50,79,74,90,94,74,83,identifiant EA partage,Samu | Samuel Aghehowa,
850356,Pepê,238896,Pepê,FC Porto,Liga Portugal,1997-02-24,29,CAM,78,173,72,Left,2,4,86,85,87,80,79,73,52,61,54,58,identifiant EA partage,Pepê | Pêpê,
672721,Pêpê,238896,Pepê,FC Porto,,,29,,,173,72,Left,2,4,86,85,87,80,79,73,52,61,54,58,identifiant EA partage,Pepê | Pêpê,
1320957,Romulo,73398,Rômulo,RB Leipzig,Bundesliga,2002-02-08,24,ST,76,193,80,Left,3,3,83,82,79,53,65,72,84,94,64,78,identifiant EA partage,Romulo | Romulo Cruz,
1314412,Romulo Cruz,73398,Rômulo,RB Leipzig,,,24,,,193,80,Left,3,3,83,82,79,53,65,72,84,94,64,78,identifiant EA partage,Romulo | Romulo Cruz,
1833525,Alex Fernandez,199247,Álex Fernández,Cádiz CF,LALIGA HYPERMOTION,1992-10-15,33,CM,72,182,72,Left,4,3,57,37,76,71,74,73,59,61,64,64,identifiant EA partage,Alex Fernandez | Álex Fernández,
213500,Álex Fernández,199247,Álex Fernández,Cádiz CF,,,33,,,182,72,Left,4,3,57,37,76,71,74,73,59,61,64,64,identifiant EA partage,Alex Fernandez | Álex Fernández,
867818,Kiki,213795,Kiki,AVS Futebol SAD,Liga Portugal,1994-12-10,31,LB,70,181,76,Right,3,2,83,84,63,64,67,73,68,76,62,68,identifiant EA partage,Kiki | Kiki Afonso,
442593,Kiki Afonso,213795,Kiki,AVS Futebol SAD,,,31,,,181,76,Right,3,2,83,84,63,64,67,73,68,76,62,68,identifiant EA partage,Kiki | Kiki Afonso,
960415,Matheus Silva,257265,Matheus Silva,Qarabağ FK,Liga Azerbaijan,1997-10-03,28,RB,69,182,73,Left,3,3,83,82,72,68,66,70,65,78,72,68,identifiant EA partage,Matheus Silva | Matheus,
261348,Matheus,257265,Matheus Silva,Qarabağ FK,,,28,,,182,73,Left,3,3,83,82,72,68,66,70,65,78,72,68,identifiant EA partage,Matheus Silva | Matheus,
1459257,Pedro Lima,73049,Pedro Lima,FC Porto,Liga Portugal,2006-07-01,20,RB,68,178,57,Left,2,3,77,75,81,75,63,59,54,66,59,57,identifiant EA partage,Pedro Lima | Pedro Lima,
1610952,Pedro Lima,73049,Pedro Lima,FC Porto,,,20,,,178,57,Left,2,3,77,75,81,75,63,59,54,66,59,57,identifiant EA partage,Pedro Lima | Pedro Lima,
1527142,Mathias De Amorim,277811,Mathias de Amorim,FC Famalicão,Liga Portugal,2004-12-10,21,CM,68,174,70,Left,3,3,73,68,68,76,72,69,62,64,62,64,identifiant EA partage,Mathias De Amorim | Amorim,
1469120,Amorim,277811,Mathias de Amorim,FC Famalicão,,,21,,,174,70,Left,3,3,73,68,68,76,72,69,62,64,62,64,identifiant EA partage,Mathias De Amorim | Amorim,
1206146,Javi Hernández,276976,Javi Hernández,RCD Espanyol,LALIGA EA SPORTS,2004-01-30,22,RM,68,176,67,Right,3,3,75,73,79,77,65,58,47,55,51,51,identifiant EA partage,Javi Hernández | Javi Hernandez,
1427828,Javi Hernandez,276976,Javi Hernández,RCD Espanyol,,,22,,,176,67,Right,3,3,75,73,79,77,65,58,47,55,51,51,identifiant EA partage,Javi Hernández | Javi Hernandez,
1327406,Álvaro Rodriguez,237206,Alvaro Rodríguez,SD Eibar,LALIGA HYPERMOTION,1994-07-22,31,RB,67,181,75,Left,3,2,66,65,58,65,64,71,66,67,65,67,identifiant EA partage,Álvaro Rodriguez | Alvaro Rodriguez,
820259,Alvaro Rodriguez,237206,Alvaro Rodríguez,SD Eibar,,,31,,,181,75,Left,3,2,66,65,58,65,64,71,66,67,65,67,identifiant EA partage,Álvaro Rodriguez | Alvaro Rodriguez,
639699,Juanpe,234769,Juanpe,Málaga CF,LALIGA HYPERMOTION,1996-01-31,30,CM,65,183,72,Left,3,2,68,74,61,63,58,83,72,71,63,73,identifiant EA partage,Juanpe | Juanpe,
714418,Juanpe,234769,Juanpe,Málaga CF,,,30,,,183,72,Left,3,2,68,74,61,63,58,83,72,71,63,73,identifiant EA partage,Juanpe | Juanpe,
1402068,Ruan,247027,Ruan,Göztepe,Trendyol Süper Lig,1995-05-29,31,RM,65,170,65,Left,2,3,85,87,86,75,59,75,61,69,68,66,identifiant EA partage,Ruan | Ruan,
876341,Ruan,247027,Ruan,Göztepe,,,31,,,170,65,Left,2,3,85,87,86,75,59,75,61,69,68,66,identifiant EA partage,Ruan | Ruan,
1586559,Rayan Fofana,77633,Rayan Fofana,RC Lens,Ligue 1 McDonald's,2006-02-12,20,ST,64,180,75,Left,3,3,71,77,68,65,60,53,58,67,45,55,identifiant EA partage,Rayan Fofana | Rayan,
1478295,Rayan,77633,Rayan Fofana,RC Lens,,,20,,,180,75,Left,3,3,71,77,68,65,60,53,58,67,45,55,identifiant EA partage,Rayan Fofana | Rayan,
1633013,João Carvalho,77188,João Carvalho,SC Braga,Liga Portugal,2004-04-09,22,GK,61,192,78,Left,2,1,16,25,31,23,40,22,59,48,23,62,identifiant EA partage,João Carvalho | Carvalho,
816001,Carvalho,77188,João Carvalho,SC Braga,,,22,,,192,78,Left,2,1,16,25,31,23,40,22,59,48,23,62,identifiant EA partage,João Carvalho | Carvalho,
