fotmob_id,nom,club,poste,age,pays,numero,ovr_carte,minutes_saison,_note
485634,Roberto Gagliardini,Hellas Verona,Milieu defensif,32,ITA,63,78,2044,
185644,Mathew Ryan,Levante,Gardien,34,AUS,13,75,3240,"nom seul, non confirme"
369295,Ronald Koeman,Telstar,Gardien,30,NED,1,75,2869,
1574492,Tiago Gabriel,Lecce,Defenseur central,21,POR,44,75,3389,plusieurs candidats
564847,Viktor Tsigankov,Girona,Ailier,28,UKR,15,75,2614,
637589,Lincoln,Alverca,Ailier,27,BRA,18,73,2352,
1362439,Bernardo Fontes,Tondela,Gardien,,,,72,2970,
1044299,Hyun-Gyu Oh,Beşiktaş,Buteur,25,KOR,9,72,1643,
875133,Pote,Sporting CP,Ailier,27,POR,8,72,2399,
1514682,Kouadou Assoumou,Samsunspor,Ailier,23,CIV,47,71,665,"nom seul, non confirme"
1248662,Adriel Ramos,AVS Futebol SAD,Gardien,25,BRA,1,70,1440,plusieurs candidats
1199383,Ange-Yoan Bonny,Inter,Buteur,22,CIV,14,70,1017,"nom seul, non confirme"
477023,Rafa Silva,Benfica,Milieu offensif,32,POR,27,70,1829,"nom seul, non confirme"
1665354,Benjamin Pauwels,FC Volendam,Ailier,,,,69,437,
1052861,Darko Nejasmic,NEC Nijmegen,Milieu defensif,27,CRO,6,69,2245,
286119,Jamie Vardy,Cremonese,Buteur,39,ENG,10,69,1965,
1013277,Toti Gomes,Wolverhampton Wanderers,Defenseur central,27,POR,24,69,1567,"nom seul, non confirme"
1303501,Ali Yousef Musrati,Nantes,Defenseur central,,,,68,798,"nom seul, non confirme"
277761,Chancel Mbemba,Lille,Defenseur central,31,COD,18,68,1470,"nom seul, non confirme"
1611573,Jalen Blesa,Rio Ave,Buteur,25,ESP,11,68,1128,
1320169,Kaique Pereira,Nacional,Gardien,23,BRA,1,68,2520,"nom seul, non confirme"
1174640,Pedro Maranhão,Tondela,Ailier,,,,68,2306,
157723,Christian Eriksen,Wolfsburg,Milieu defensif,34,DEN,24,67,2385,"nom seul, non confirme"
