fotmob_id,nom_fotmob,ea_id,nom_ea,equipe_ea,championnat,naissance,age,poste,note,taille_cm,poids_kg,pied_fort,mauvais_pied,gestes,acceleration,vitesse_pointe,agilite,equilibre,reactions,endurance,force,detente,agressivite,note_physique
846033,Vinícius Júnior,238794,Vini Jr.,Real Madrid,LALIGA EA SPORTS,2000-07-12,25,LW,89,176,73,Right,4,5,95,95,94,84,85,84,65,74,58,69
288406,Alejandro Grimaldo,210035,Grimaldo,Leverkusen,Bundesliga,1995-09-20,30,LM,84,171,68,Left,2,4,76,68,84,86,85,91,54,68,69,67
1412132,Kenan Yildiz,277954,Kenan Yıldız,Juventus,Serie A Enilive,2005-05-04,21,CAM,79,185,75,Right,5,4,85,84,83,74,72,72,67,80,50,66
678234,Mikel Oyarzabal,230142,Oyarzabal,Real Sociedad,LALIGA EA SPORTS,1997-04-21,29,ST,82,181,78,Left,3,3,78,76,77,77,82,79,57,77,62,65
603669,Ugurcan Çakir,226300,Uğurcan Çakır,Galatasaray,Trendyol Süper Lig,1996-04-05,30,GK,80,191,82,Right,3,1,53,56,64,58,77,40,69,70,34,80
1102708,Germán Valera,254860,Valera,Elche CF,LALIGA EA SPORTS,2002-03-16,24,RM,71,170,68,Left,3,3,81,88,81,79,66,54,46,55,36,46
1031325,Martín Zubimendi,248148,Zubimendi,Arsenal,Premier League,1999-02-02,27,CDM,83,180,74,Right,4,3,67,66,74,75,84,85,67,71,74,73
524434,João Palhinha,229391,Palhinha,Spurs,Premier League,1995-07-09,30,CDM,83,190,83,Right,4,2,54,58,51,50,79,79,86,83,91,85
319784,Alisson Becker,212831,Alisson,Liverpool,Premier League,1992-10-02,33,GK,89,193,91,Right,3,1,60,49,40,37,87,32,78,82,27,90
188058,Daniel Burn,198032,Dan Burn,Newcastle Utd,Premier League,1992-05-09,34,CB,79,201,104,Left,3,2,34,49,32,32,77,78,90,70,86,85
534955,Aaron Escandell,220383,Aarón,R. Oviedo,LALIGA EA SPORTS,1995-09-27,30,GK,75,185,71,Right,4,1,40,34,44,56,73,45,54,60,27,73
670009,Dimitrios Giannoulis,236457,Dimitris Giannoulis,FC Augsburg,Bundesliga,1995-10-17,30,LB,76,175,71,Left,2,3,79,86,77,75,73,90,56,64,66,67
787242,Evan N'Dicka,236403,Evan Ndicka,AS Roma,Serie A Enilive,1999-08-20,26,CB,81,192,82,Left,3,2,69,78,50,55,81,83,81,85,81,82
586388,Aleksandr Golovin,225663,Alexandr Golovin,AS Monaco,Ligue 1 McDonald's,1996-05-30,30,LM,79,178,69,Right,4,4,73,73,85,77,77,79,56,61,76,66
1031656,Maxi Araújo,254817,Maximiliano Araújo,Sporting CP,Liga Portugal,2000-02-15,26,LM,77,177,75,Left,2,4,87,84,85,70,75,78,60,76,72,68
291399,Abdülkerim Bardakci,229905,Abdülkerim Bardakcı,Galatasaray,Trendyol Süper Lig,1994-09-07,31,CB,80,185,80,Left,2,2,58,60,62,64,75,82,87,86,84,85
980793,Khéphren Thuram-Ulien,247246,Khéphren Thuram,Juventus,Serie A Enilive,2001-03-26,25,CM,81,192,80,Right,3,3,76,80,75,65,79,81,79,87,84,81
178732,Lukasz Skorupski,189908,Łukasz Skorupski,Bologna,Serie A Enilive,1991-05-05,35,GK,79,188,90,Right,3,1,51,51,48,38,76,31,58,63,33,78
564847,Viktor Tsigankov,244369,Viktor Tsygankov,Girona FC,LALIGA EA SPORTS,1997-11-15,28,RM,79,178,73,Left,4,4,82,82,81,72,76,75,52,62,63,60
1254166,Alejandro Balde,263578,Balde,FC Barcelona,LALIGA EA SPORTS,2003-10-18,22,LB,83,175,69,Left,4,3,90,91,81,77,80,77,68,83,47,67
1325998,Iván Fresneda,266253,Fresneda,Sporting CP,Liga Portugal,2004-09-20,21,RB,74,181,79,Right,4,3,78,79,71,74,67,80,67,75,62,70
1311946,Jochem Ritmeester van de Kamp,275861,Jochem van de Kamp,SC Telstar,Eredivisie,2003-11-02,22,CAM,66,177,72,Right,3,3,75,78,74,55,65,82,62,63,69,68
1015183,Mohammed Ihattaren,246960,Mohamed Ihattaren,Fortuna Sittard,Eredivisie,2002-02-12,24,CAM,71,183,75,Left,2,4,61,51,70,65,67,69,74,66,54,68
291635,Pedro Bigas,206222,Bigas,Elche CF,LALIGA EA SPORTS,1990-09-15,35,CB,74,181,78,Left,2,2,57,57,62,66,69,72,82,80,82,79
1002618,Ander Barrenetxea,246672,Barrenetxea,Real Sociedad,LALIGA EA SPORTS,2001-12-27,24,LM,77,175,74,Right,4,3,81,81,85,82,76,74,66,74,62,68
612863,Frank Anguissa,227236,André-Franck Zambo Anguissa,SSC Napoli,Serie A Enilive,1995-11-16,30,CM,82,184,83,Right,3,3,74,76,74,71,84,89,82,87,85,85
857269,Gleison Bremer,239580,Bremer,Juventus,Serie A Enilive,1997-03-18,29,CB,85,187,84,Right,2,2,78,86,65,63,78,65,84,92,84,80
684981,Aaron Martin Caricol,236295,Aarón Martín,Genoa,Serie A Enilive,1997-04-22,29,LB,74,178,70,Left,3,3,69,50,77,75,72,81,57,68,61,64
890232,Baris Alper Yilmaz,263205,Barış Alper Yılmaz,Galatasaray,Trendyol Süper Lig,2000-05-23,26,LM,80,186,80,Right,3,4,92,93,85,81,80,93,90,92,86,90
620026,Hee-Chan Hwang,226380,Hwang Hee Chan,Wolves,Premier League,1996-01-26,30,ST,75,177,77,Right,4,3,86,76,77,71,75,66,68,81,68,68
1073742,Julio Enciso,255434,Julio César Enciso,Strasbourg,Ligue 1 McDonald's,2004-01-23,22,CAM,73,173,64,Right,3,3,77,72,81,80,67,61,42,50,61,51
1237856,Patrick Sequeira,270054,Patrick Gilmar Sequeira,Casa Pia AC,Liga Portugal,1999-03-01,27,GK,71,190,84,Right,3,1,38,30,47,50,65,25,60,59,27,67
1321124,Rome Owusu-Oduro,272958,Rome-Jayden Owusu-Oduro,AZ,Eredivisie,2004-07-02,21,GK,71,188,82,Right,3,1,40,39,39,31,68,35,60,60,16,70
1106742,Sergio Carreira,252866,Carreira,Celta,LALIGA EA SPORTS,2000-10-13,25,RM,75,170,65,Right,3,3,78,74,75,74,76,76,63,75,55,65
1506480,Yarek Gasiorowski,278661,Yarek,PSV,Eredivisie,2005-01-12,21,CB,73,192,75,Left,3,2,60,68,69,66,71,66,64,73,70,66
952528,Adrián De La Fuente,245290,Dela,Levante UD,LALIGA EA SPORTS,1999-02-26,27,CB,72,179,78,Right,3,2,69,74,62,55,69,75,72,79,73,73
681213,Ionut Radu,234102,Ionuț Andrei Radu,Celta,LALIGA EA SPORTS,1997-05-28,29,GK,74,188,70,Right,2,1,52,48,43,40,72,32,58,64,22,70
391058,José Gayà,211688,Gayà,Valencia CF,LALIGA EA SPORTS,1995-05-25,31,LB,81,172,66,Left,3,4,79,81,82,80,82,80,66,73,77,72
1451265,Malick Diouf,274915,El Hadji Malick Diouf,West Ham,Premier League,2004-12-29,21,LB,75,183,75,Left,2,3,78,82,68,67,72,78,80,91,66,77
992060,Tom Krauss,251392,Tom Krauß,1. FC Köln,Bundesliga,2001-06-22,25,CDM,75,183,76,Right,3,2,74,69,69,68,73,81,75,78,86,79
1107910,Valentino Livramento,262118,Tino Livramento,Newcastle Utd,Premier League,2002-11-12,23,RB,80,181,71,Right,4,3,80,84,76,79,78,80,71,75,74,74
814663,Alejandro Catena,243976,Catena,CA Osasuna,LALIGA EA SPORTS,1994-10-28,31,CB,79,194,82,Right,3,2,64,64,58,52,76,78,77,84,78,78
178899,Ertugrul Taskiran,194372,Ertuğrul Taşkıran,Alanyaspor,Trendyol Süper Lig,1989-11-05,36,GK,69,191,83,Right,2,1,52,56,54,32,65,27,43,52,29,66
774448,Ferdi Kadioglu,235152,Ferdi Kadıoğlu,Brighton,Premier League,1999-10-07,26,RB,79,174,68,Right,4,3,88,77,89,86,75,79,62,71,62,67
282462,Íñigo Ruíz de Galarreta,205157,Ruiz de Galarreta,Athletic Club,LALIGA EA SPORTS,1993-08-06,32,CDM,80,175,69,Right,3,3,73,66,81,87,79,84,70,69,82,76
689065,Alexis Claude,236477,Alexis Claude-Maurice,FC Augsburg,Bundesliga,1998-06-06,28,CAM,77,175,62,Right,3,4,78,73,87,84,73,74,61,72,69,66
1075457,Chuchu Ramírez,252164,Jesús Ramírez,Nacional,Liga Portugal,1998-05-04,28,ST,69,184,76,Right,3,2,77,79,72,67,67,75,68,78,54,67
1486541,Forzan Assan Ouedraogo,276602,Assan Ouédraogo,RB Leipzig,Bundesliga,2006-05-09,20,CAM,69,191,84,Right,3,4,76,76,83,77,64,57,77,80,49,67
601145,Habibou Mouhamadou Diallo,225293,Habib Diallo,FC Metz,Ligue 1 McDonald's,1995-06-15,31,ST,72,186,79,Right,3,3,69,73,66,69,66,71,81,87,60,75
1249284,Jon Aramburu,259848,Jon Mikel Aramburu,Real Sociedad,LALIGA EA SPORTS,2002-07-23,23,RB,77,176,71,Right,3,2,71,67,67,70,77,76,68,73,79,72
360918,Jonny Otto,210455,Jonny,D. Alavés,LALIGA EA SPORTS,1994-03-03,32,RB,74,170,70,Right,3,3,75,67,72,77,71,71,62,74,76,68
1051411,Kacper Kozlowski,252508,Kacper Kozłowski,Gaziantep,Trendyol Süper Lig,2003-10-16,22,CM,70,182,68,Right,4,4,77,61,80,83,70,74,67,74,66,69
424380,Samet Akaydin,263021,Samet Akaydın,Çaykur Rizespor,Trendyol Süper Lig,1994-03-13,32,CB,70,190,82,Right,2,2,55,55,52,38,69,70,78,78,76,76
935550,Torbjørn Heggem,248342,Torbjørn L. Heggem,Bologna,Serie A Enilive,1999-01-12,27,CB,73,192,79,Left,5,2,70,75,61,60,71,79,82,84,68,79
1230287,Dorgeles Nene,260236,Nene Dorgeles,Fenerbahçe,Trendyol Süper Lig,2002-12-23,23,ST,71,174,65,Left,4,3,88,86,90,84,69,71,46,66,52,54
305679,Emre Kilinç,239045,Emre Kılınç,Samsunspor,Trendyol Süper Lig,1994-08-23,31,LM,73,174,68,Left,2,3,80,69,88,78,70,82,55,59,52,61
1187734,Flavien Boyomo,259066,Flavien-Enzo Boyomo,CA Osasuna,LALIGA EA SPORTS,2001-10-07,24,CB,78,181,86,Right,2,2,72,75,61,57,70,80,83,88,76,81
841672,Nicolás González,240690,Nico Gonzalez,Atlético de Madrid,LALIGA EA SPORTS,1998-04-06,28,RM,78,180,72,Left,2,4,79,84,79,75,75,73,51,78,67,61
1121170,Ransford Königsdörffer,255036,Ransford-Yeboah Königsdörffer,Hamburger SV,Bundesliga,2001-09-13,24,ST,71,182,78,Right,3,3,85,77,81,80,69,74,64,79,48,64
530468,Antonio Sivera,222464,Sivera,D. Alavés,LALIGA EA SPORTS,1996-08-11,29,GK,76,185,79,Right,3,1,58,55,61,53,69,42,63,69,25,75
1037491,Arseniy Batahov,74295,Arseniy Batagov,Trabzonspor,Trendyol Süper Lig,2002-03-05,24,CB,72,185,75,Left,3,2,67,68,48,66,71,70,71,78,65,70
1565010,Arthur Avom,69997,Arthur Avom Ebong,FC Lorient,Ligue 1 McDonald's,2004-12-15,21,CM,71,173,68,Right,2,3,71,69,72,75,66,81,63,68,64,68
873568,Bilal Bayazit,240856,Bilal Bayazıt,Kayserispor,Trendyol Süper Lig,1999-04-08,27,GK,70,185,76,Right,2,1,23,25,33,32,66,20,40,41,19,70
592910,Dimitrios Limnios,240271,Dimitris Limnios,Fortuna Sittard,Eredivisie,1998-05-27,28,LM,69,178,71,Right,3,3,78,71,77,79,66,68,55,68,50,58
1067256,Djordje Petrovic,269626,Đorđe Petrović,AFC Bournemouth,Premier League,1999-10-08,26,GK,80,194,89,Right,2,1,40,43,45,34,79,37,73,67,27,78
1202070,Isak Steiner Jensen,264263,Isak Jensen,AZ,Eredivisie,2003-12-23,22,LM,70,185,84,Right,3,3,81,80,61,60,66,75,84,74,47,74
1323827,Jon Gorrotxategi,74091,Gorrotxa,Real Sociedad,LALIGA EA SPORTS,2002-02-02,24,CDM,73,177,70,Right,3,2,70,73,68,73,70,90,78,74,70,79
1112072,Jon Pacheco,255854,Pacheco,D. Alavés,LALIGA EA SPORTS,2001-01-08,25,CB,74,184,77,Left,3,2,47,49,39,59,74,58,72,73,70,68
1280020,Julen Agirrezabala,263880,Agirrezabala,Valencia CF,LALIGA EA SPORTS,2000-12-26,25,GK,76,187,80,Left,3,1,30,36,33,35,69,26,60,56,24,77
1016132,Kouadio Koné,250723,Kouadio Manu Koné,AS Roma,Serie A Enilive,2001-05-17,25,CM,79,185,80,Right,3,4,77,72,79,72,79,82,82,83,82,82
1220269,Maximilien Balard,261386,Max Balard,NAC Breda,Eredivisie,2000-11-20,25,CM,67,178,68,Right,3,3,65,69,80,82,69,74,71,64,69,71
402419,Przemyslaw Frankowski,212138,Przemysław Frankowski,Stade Rennais FC,Ligue 1 McDonald's,1995-04-12,31,RB,75,175,70,Right,3,3,86,87,74,75,76,78,67,76,69,71
1060604,Abner,263815,Abner Vinícius,OL,Ligue 1 McDonald's,2000-05-27,26,LB,74,182,74,Left,2,3,78,79,79,73,70,69,61,69,69,65
873270,Anastasios Douvikas,261478,Tasos Douvikas,Como,Serie A Enilive,1999-08-02,26,ST,73,186,76,Right,4,3,82,77,74,66,70,76,70,80,58,70
1286190,Anselmo MacNulty,262889,Anselmo García MacNulty,PEC Zwolle,Eredivisie,2003-02-19,23,CB,68,187,78,Left,3,2,64,66,66,62,62,73,79,77,75,77
1392779,Etta Eyong,271414,Karl Edouard Etta Eyong,Levante UD,LALIGA EA SPORTS,2003-10-14,22,ST,66,181,75,Right,3,3,65,66,55,71,66,44,69,70,58,61
802329,Gaizka Larrazabal,251025,Larrazabal,Casa Pia AC,Liga Portugal,1997-12-17,28,RM,71,180,78,Right,3,3,80,81,80,75,72,80,78,74,71,77
