fotmob_id,nom_fotmob,ea_id,nom_ea,equipe_ea,championnat,naissance,age,poste,note,taille_cm,poids_kg,pied_fort,mauvais_pied,gestes,acceleration,vitesse_pointe,agilite,equilibre,reactions,endurance,force,detente,agressivite,note_physique
292462,Mohamed Salah,209331,Mohamed Salah,Liverpool,Premier League,1992-06-15,34,RM,91,175,72,Left,3,4,88,89,86,91,94,88,75,79,63,76
701154,Kylian Mbappé,231747,Kylian Mbappé,Real Madrid,LALIGA EA SPORTS,1998-12-20,27,ST,91,182,75,Right,4,5,97,97,93,82,91,83,77,90,61,76
692984,Ousmane Dembélé,231443,Ousmane Dembélé,Paris SG,Ligue 1 McDonald's,1997-05-15,29,ST,90,178,67,Left,5,5,93,89,94,81,91,76,69,84,58,69
675088,Rodri,231866,Rodri,Manchester City,Premier League,1996-06-22,30,CDM,90,190,82,Right,4,3,65,65,66,67,93,91,83,83,85,85
209405,Virgil van Dijk,203376,Virgil van Dijk,Liverpool,Premier League,1991-07-08,34,CB,90,193,92,Right,3,2,66,78,54,50,90,75,93,89,85,87
1077894,Jude Bellingham,252371,Jude Bellingham,Real Madrid,LALIGA EA SPORTS,2003-06-29,23,CAM,90,186,75,Right,4,4,81,80,83,83,91,94,80,85,85,85
737066,Erling Haaland,239085,Erling Haaland,Manchester City,Premier League,2000-07-21,25,ST,90,195,94,Left,3,3,79,92,71,69,93,76,93,92,88,88
696679,Raphinha,233419,Raphinha,FC Barcelona,LALIGA EA SPORTS,1996-12-14,29,LM,89,176,68,Left,4,4,90,91,88,79,87,91,65,82,77,75
770881,Achraf Hakimi,235212,Achraf Hakimi,Paris SG,Ligue 1 McDonald's,1998-11-04,27,RB,89,181,73,Right,4,4,89,95,81,78,90,95,72,84,77,79
1467236,Lamine Yamal,277643,Lamine Yamal,FC Barcelona,LALIGA EA SPORTS,2007-07-13,18,RM,89,180,72,Left,3,5,88,83,93,81,88,73,45,58,45,53
1061249,Vitinha,255253,Vitinha,Paris SG,Ligue 1 McDonald's,2000-02-13,26,CM,89,172,64,Right,3,4,75,69,91,89,88,87,59,66,77,70
618878,Gianluigi Donnarumma,230621,Gianluigi Donnarumma,Manchester City,Premier League,1999-02-25,27,GK,89,196,90,Right,3,1,50,55,57,38,87,41,75,73,30,87
1083323,Pedri,251854,Pedri,FC Barcelona,LALIGA EA SPORTS,2002-11-25,23,CM,89,174,60,Right,4,4,79,76,89,92,87,90,73,72,72,77
460632,Joshua Kimmich,212622,Joshua Kimmich,FC Bayern München,Bundesliga,1995-02-08,31,CDM,89,177,75,Right,4,3,75,70,83,84,89,92,69,77,89,79
194165,Harry Kane,202126,Harry Kane,FC Bayern München,Bundesliga,1993-07-28,32,ST,89,188,86,Right,4,3,62,66,67,72,94,76,86,87,80,82
743533,Federico Valverde,239053,Federico Valverde,Real Madrid,LALIGA EA SPORTS,1998-07-22,27,CM,89,182,74,Right,4,3,84,92,77,68,89,93,82,82,81,85
1152455,Florian Wirtz,256630,Florian Wirtz,Liverpool,Premier League,2003-05-03,23,CAM,89,177,71,Right,4,4,82,79,88,87,88,87,59,65,63,67
170323,Thibaut Courtois,192119,Thibaut Courtois,Real Madrid,LALIGA EA SPORTS,1992-05-11,34,GK,89,200,96,Left,3,1,42,52,63,45,88,38,70,68,23,88
93447,Robert Lewandowski,188545,Robert Lewandowski,FC Barcelona,LALIGA EA SPORTS,1988-08-21,37,ST,88,185,81,Right,4,4,73,74,77,83,89,76,89,91,81,84
690230,Lautaro Martínez,231478,Lautaro Martínez,Lombardia FC,Serie A Enilive,1997-08-22,28,ST,88,174,72,Right,4,4,83,80,88,87,92,86,80,91,87,83
690107,Alexander Isak,233731,Alexander Isak,Liverpool,Premier League,1999-09-21,26,ST,88,192,77,Right,4,4,86,80,73,69,87,82,79,90,58,76
1156141,Jamal Musiala,256790,Jamal Musiala,FC Bayern München,Bundesliga,2003-02-26,23,CAM,88,184,72,Right,4,5,85,75,94,93,89,73,61,80,59,65
795179,Gabriel,232580,Gabriel,Arsenal,Premier League,1997-12-19,28,CB,88,190,87,Left,2,2,61,67,51,37,88,71,89,88,86,84
961995,Bukayo Saka,246669,Bukayo Saka,Arsenal,Premier League,2001-09-05,24,RW,88,178,65,Left,4,3,87,81,85,88,88,86,68,72,68,73
177126,Jan Oblak,200389,Jan Oblak,Atlético de Madrid,LALIGA EA SPORTS,1993-01-07,33,GK,88,188,87,Right,3,1,42,53,64,48,85,42,78,72,36,86
1096353,Cole Palmer,257534,Cole Palmer,Chelsea,Premier League,2002-05-06,24,CAM,87,185,76,Left,3,4,76,75,80,78,88,83,60,71,55,65
900433,Khvicha Kvaratskhelia,247635,Khvicha Kvaratskhelia,Paris SG,Ligue 1 McDonald's,2001-02-12,25,LW,87,183,70,Right,5,5,85,86,86,84,84,83,76,87,73,78
805451,Alessandro Bastoni,237383,Alessandro Bastoni,Lombardia FC,Serie A Enilive,1999-04-13,27,CB,87,190,75,Left,2,2,71,77,64,60,89,81,81,88,83,82
448540,Serhou Guirassy,215441,Serhou Guirassy,Borussia Dortmund,Bundesliga,1996-03-12,30,ST,87,187,82,Right,4,3,74,71,76,77,86,84,85,90,76,83
169200,Kevin De Bruyne,192985,Kevin De Bruyne,SSC Napoli,Serie A Enilive,1991-06-28,35,CM,87,181,75,Right,5,4,65,66,68,66,89,66,74,70,73,72
638622,Frenkie de Jong,228702,Frenkie de Jong,FC Barcelona,LALIGA EA SPORTS,1997-05-12,29,CM,87,181,74,Right,3,4,80,83,87,79,87,87,73,82,74,77
1137668,Moisés Caicedo,256079,Moisés Caicedo,Chelsea,Premier League,2001-11-02,24,CDM,87,178,73,Right,3,3,76,66,80,79,84,90,77,80,85,82
654096,Declan Rice,234378,Declan Rice,Arsenal,Premier League,1999-01-14,27,CDM,87,185,80,Right,3,3,71,73,63,65,85,92,78,80,85,83
267365,Marquinhos,207865,Marquinhos,Paris SG,Ligue 1 McDonald's,1994-05-14,32,CB,87,183,75,Right,3,3,75,80,68,67,86,79,79,89,81,80
41618,Yann Sommer,177683,Yann Sommer,Lombardia FC,Serie A Enilive,1988-12-17,37,GK,87,183,77,Right,4,1,48,54,57,58,83,45,68,68,38,87
705450,Jules Koundé,241486,Jules Koundé,FC Barcelona,LALIGA EA SPORTS,1998-11-12,27,RB,87,180,75,Right,3,3,85,83,70,78,86,87,85,91,78,84
422685,Bruno Fernandes,212198,Bruno Fernandes,Man Utd,Premier League,1994-09-08,31,CAM,87,179,69,Right,4,4,68,66,78,73,90,95,61,69,84,75
955406,William Saliba,243715,William Saliba,Arsenal,Premier League,2001-03-24,25,CB,87,193,85,Right,3,2,76,78,53,46,86,72,88,89,83,83
974753,Julián Álvarez,246191,Julián Alvarez,Atlético de Madrid,LALIGA EA SPORTS,2000-01-31,26,ST,87,170,71,Right,4,4,86,85,87,87,88,85,72,86,86,79
