fotmob_id,nom_fotmob,volume_course,score_volume,pressing,score_pressing,recuperation,score_recuperation,distance_90_reelle,sprints_90_reels,source,relentless,styles_ea
292462,Mohamed Salah,Moyen,0.507,Haut,0.849,Bas,0.091,10548,14.1,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Inventive|Low Driven Shot|Technical|Whipped Pass
701154,Kylian Mbappé,Bas,0.089,Moyen,0.587,Bas,0.009,9012,10.3,mesure FotMob,,Acrobatic|Finesse Shot|First Touch|Gamechanger|Low Driven Shot|Quick Step|Rapid
692984,Ousmane Dembélé,Moyen,0.548,Haut,0.764,Bas,0.01,10633,13.0,mesure FotMob,,Inventive|Low Driven Shot|Pinged Pass|Quick Step|Rapid|Trickster
675088,Rodri,Haut,0.938,Bas,0.117,Haut,0.931,11813,4.9,mesure FotMob,,Aerial Fortress|Bruiser|Long Ball Pass|Power Shot|Press Proven|Tiki Taka
209405,Virgil van Dijk,Bas,0.088,Bas,0.288,Bas,0.132,8983,6.8,mesure FotMob,,Aerial Fortress|Anticipate|Bruiser|Intercept|Jockey|Pinged Pass|Precision Header
1077894,Jude Bellingham,Haut,0.674,Haut,0.798,Haut,0.922,10885,13.5,mesure FotMob,oui,First Touch|Gamechanger|Inventive|Low Driven Shot|Relentless|Slide Tackle|Technical
737066,Erling Haaland,Bas,0.244,Haut,0.822,Bas,0.004,10012,13.5,mesure FotMob,,Acrobatic|Chip Shot|Enforcer|Gamechanger|Low Driven Shot|Power Shot|Precision Header
696679,Raphinha,Moyen,0.371,Haut,0.982,Bas,0.134,10267,18.4,mesure FotMob,oui,Finesse Shot|Power Shot|Quick Step|Rapid|Relentless|Trickster
770881,Achraf Hakimi,Moyen,0.649,Haut,0.966,Moyen,0.544,10847,17.2,mesure FotMob,oui,Anticipate|Jockey|Low Driven Shot|Press Proven|Quick Step|Relentless|Whipped Pass
1467236,Lamine Yamal,Bas,0.134,Moyen,0.567,Haut,0.808,9587,10.6,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Incisive Pass|Inventive|Quick Step|Technical
1061249,Vitinha,Haut,0.875,Moyen,0.41,Moyen,0.598,11531,8.5,mesure FotMob,oui,Finesse Shot|Incisive Pass|Intercept|Long Ball Pass|Relentless|Technical|Tiki Taka
618878,Gianluigi Donnarumma,Bas,0.036,Bas,0.069,Bas,0.255,5146,0.3,mesure FotMob,,Deflector|Footwork
1083323,Pedri,Haut,0.887,Moyen,0.332,Haut,0.958,11590,7.8,mesure FotMob,oui,First Touch|Incisive Pass|Long Ball Pass|Relentless|Technical|Tiki Taka
